,City,City ID,Date,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
0,Port Alfred,964432,1552092112,18.33,92,89,1.79,-33.59,26.89
1,Bredasdorp,1015776,1552091487,19.0,92,88,5.7,-34.53,20.04
2,Ushuaia,3833367,1552089600,10.0,75,61,15.4,-54.81,-68.31
3,Berlevag,780687,1552092218,-7.9,76,100,3.57,70.86,29.09
4,Sinnamary,3380290,1552092335,26.5,80,92,5.12,5.38,-52.96
5,Port Lincoln,2063036,1552092335,20.5,80,91,1.37,-34.72,135.86
6,Klaksvik,2618795,1552090800,2.0,48,59,8.2,62.23,-6.59
7,Cidreira,3466165,1552092335,22.75,88,99,2.77,-30.17,-50.22
8,Codrington,2160063,1552092152,28.89,40,73,1.22,-28.95,153.24
9,Choya,1507745,1552092336,-13.5,64,73,1.07,52.01,86.55
10,Namibe,3347019,1552092336,25.73,48,100,1.67,-15.19,12.15
11,Rikitea,4030556,1552092157,25.28,68,100,7.22,-23.12,-134.97
12,Ancud,3899695,1552089600,11.0,0,71,2.1,-41.87,-73.83
13,Komsomolskiy,1486910,1552092336,-10.48,68,86,5.67,67.55,63.78
14,Troitskoye,1489209,1552092336,-7.03,92,93,1.92,52.98,84.68
15,Vaini,1273574,1552089600,18.0,0,55,0.62,15.34,74.49
16,Coquimbo,3893629,1552089600,16.0,40,87,4.1,-29.95,-71.34
17,Chabahar,1161724,1552092337,19.9,0,100,3.52,25.29,60.65
18,Butaritari,2110227,1552092157,27.5,80,100,6.47,3.07,172.79
19,Carnarvon,1014034,1552092337,10.18,0,89,1.37,-30.97,22.13
20,Meadow Lake,6071421,1552089600,-10.0,90,85,2.6,54.13,-108.44
21,Honningsvag,779554,1552092318,-6.23,68,100,3.87,70.98,25.97
22,Hobart,2163355,1552092301,15.0,75,93,2.1,-42.88,147.33
23,Constitucion,4011743,1552092016,25.0,75,10,9.3,23.99,-104.67
24,Bluff,2175403,1552092185,28.28,44,60,5.32,-23.58,149.07
25,Inongo,2315417,1552092338,21.88,12,97,1.17,-1.93,18.29
26,Punta Arenas,3874787,1552092187,11.0,75,76,9.3,-53.16,-70.91
27,Taunggyi,1293960,1552092052,13.35,0,87,1.32,20.78,97.03
28,Ahipara,2194098,1552092338,19.73,32,87,7.97,-35.17,173.16
29,Jamestown,2069194,1552092114,22.03,68,63,1.92,-33.21,138.6
30,Esperance,3573739,1552092330,26.11,20,78,3.1,10.24,-61.45
31,Khani,610864,1552089600,5.0,0,80,2.6,41.96,42.96
32,Norman Wells,6089245,1552089600,-5.0,75,67,3.6,65.28,-126.83
33,Bambous Virieux,1106677,1552089600,24.0,75,94,2.1,-20.34,57.76
34,Hermanus,3366880,1552091487,17.78,44,86,2.68,-34.42,19.24
35,Kapaa,5848280,1552092207,26.0,75,64,11.3,22.08,-159.32
36,Kahului,5847411,1552092334,26.67,40,50,10.3,20.89,-156.47
37,Atuona,4020109,1552092340,27.85,92,100,7.57,-9.8,-139.03
38,Saldanha,2737599,1552092340,1.63,0,82,1.22,41.42,-6.55
39,Hambantota,1244926,1552090200,23.0,44,100,0.5,6.12,81.12
40,Arraial do Cabo,3471451,1552089600,27.0,20,83,5.7,-22.97,-42.02
41,Amahai,1651591,1552092341,28.13,64,100,7.17,-3.31,129.0
42,Diffa,2445704,1552092342,25.18,0,26,4.77,13.32,12.61
43,Ciolpani,681691,1552092298,13.89,0,57,4.6,44.73,26.11
44,Preston,2639912,1552092315,8.89,40,80,8.7,53.76,-2.71
45,Mataura,6201424,1552092342,19.65,64,47,1.97,-46.19,168.86
46,Ballina,2966778,1552092184,8.89,92,90,0.45,54.11,-9.15
47,Grindavik,3416888,1552091957,1.11,90,59,10.8,63.84,-22.43
48,Qaanaaq,3831208,1552092343,-24.73,0,93,2.62,77.48,-69.36
49,Cabo San Lucas,3985710,1552091497,32.0,75,86,6.7,22.89,-109.91
50,Awbari,2219235,1552092343,12.88,0,23,4.67,26.59,12.77
51,Makushino,1500036,1552092343,-11.43,0,76,5.02,55.21,67.25
52,Albany,5106834,1552092332,-1.11,1,35,1.97,42.65,-73.75
53,Faanui,4034551,1552092245,29.35,92,96,7.17,-16.48,-151.75
54,Fare,4034496,1552092344,29.28,76,96,7.02,-16.7,-151.02
55,Curvelo,3464891,1552092344,27.18,32,48,3.87,-18.76,-44.43
56,Porbandar,1259395,1552092344,19.15,0,84,4.02,21.64,69.61
57,Marystown,6067472,1552092344,-6.38,68,100,12.02,47.17,-55.16
58,Moron,3631878,1552092344,22.08,8,76,1.77,10.49,-68.2
59,Busselton,2075265,1552092316,21.11,92,74,0.87,-33.64,115.35
60,Gushikawa,1863495,1552090500,20.0,90,82,6.7,26.35,127.87
61,Perundurai,1259855,1552091400,25.0,20,78,1.12,11.28,77.58
62,Muros,3115824,1552092330,12.78,90,93,2.1,42.77,-9.06
63,Udachnyy,2014624,1552092345,-9.73,76,77,2.27,66.42,112.4
64,Mahebourg,934322,1552089600,24.0,75,94,2.1,-20.41,57.7
65,Bundaberg,2173323,1552092011,31.11,75,65,6.2,-24.87,152.35
66,Hilo,5855927,1552092208,24.0,75,57,6.7,19.71,-155.08
67,Winston,2636561,1552092337,9.0,88,93,7.7,52.21,1.19
68,Barrow,3833859,1552092199,14.35,80,61,4.42,-38.31,-60.23
69,Lanxi,1804442,1552092346,6.68,92,100,0.52,29.21,119.46
70,Shitanjing,1794971,1552092346,-10.03,0,57,1.07,39.23,106.34
71,Amboise,3037902,1552092271,10.0,90,93,7.7,47.41,0.98
72,Yellowknife,6185377,1552092165,-8.0,90,72,5.1,62.45,-114.38
73,Mvangue,2225703,1552092347,21.1,32,96,0.87,2.97,11.5
74,Lingig,1706176,1552092347,26.15,92,100,3.72,8.04,126.41
75,Mount Isa,2065594,1552089600,30.0,0,55,4.1,-20.73,139.49
76,Lata,1253628,1552092347,-0.08,0,79,1.22,30.78,78.62
77,Flinders,6255012,1552092130,24.44,90,64,3.6,-34.58,150.85
78,Chicama,3698359,1552092347,23.38,24,77,1.52,-7.84,-79.15
79,Dikson,1507390,1552092347,-14.35,48,95,2.77,73.51,80.55
80,Ostrovnoy,556268,1552092348,-8.93,88,89,5.62,68.05,39.51
81,Puerto Ayora,3652764,1552092348,27.38,20,90,6.37,-0.74,-90.35
82,Kavieng,2094342,1552092348,26.6,68,100,1.67,-2.57,150.8
83,Karratha,6620339,1552092226,28.03,0,75,2.07,-20.74,116.85
84,Kuandian,2036283,1552092202,0.83,20,63,2.17,40.73,124.78
85,Staritsa,488946,1552092348,4.0,80,92,9.07,56.51,34.93
86,Twentynine Palms,5404198,1552092304,21.0,1,24,9.3,34.14,-116.05
87,Mount Gambier,2156643,1552089600,20.0,90,68,2.1,-37.83,140.78
88,Penha,3454213,1552092329,24.0,75,88,9.8,-26.78,-48.65
89,Port Elizabeth,4501427,1552092212,2.22,90,90,2.87,39.31,-74.98
90,Thompson,6165406,1552089600,-5.0,75,35,1.0,55.74,-97.86
